Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp,date_not_time
2024-11-02 20:17:28+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068000,2024-11-02 20:17:28+00:00,2024-11-02
2024-11-02 12:32:45+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067900,2024-11-02 12:32:45+00:00,2024-11-02
2024-11-03 01:17:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068100,2024-11-03 01:17:30+00:00,2024-11-03
2024-11-03 13:49:05+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068300,2024-11-03 13:49:05+00:00,2024-11-03
2024-11-04 13:49:45+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068300,2024-11-04 13:49:45+00:00,2024-11-04
2024-11-04 19:32:07+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068000,2024-11-04 19:32:07+00:00,2024-11-04
2024-11-05 17:32:35+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067100,2024-11-05 17:32:35+00:00,2024-11-05
2024-11-05 04:03:42+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067900,2024-11-05 04:03:42+00:00,2024-11-05
2024-11-05 13:02:36+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067200,2024-11-05 13:02:36+00:00,2024-11-05
2024-11-06 17:47:06+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066900,2024-11-06 17:47:06+00:00,2024-11-06
2024-11-06 09:19:04+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067100,2024-11-06 09:19:04+00:00,2024-11-06
2024-11-06 01:03:08+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067300,2024-11-06 01:03:08+00:00,2024-11-06
2024-11-07 02:47:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066800,2024-11-07 02:47:32+00:00,2024-11-07
2024-11-07 09:03:36+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066200,2024-11-07 09:03:36+00:00,2024-11-07
2024-11-07 16:02:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066100,2024-11-07 16:02:30+00:00,2024-11-07
2024-11-08 00:17:27+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.065500,2024-11-08 00:17:27+00:00,2024-11-08
2024-11-08 05:32:41+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.065000,2024-11-08 05:32:41+00:00,2024-11-08
2024-11-08 08:47:26+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.064600,2024-11-08 08:47:26+00:00,2024-11-08
2024-11-08 17:03:25+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.064500,2024-11-08 17:03:25+00:00,2024-11-08
2024-11-09 01:33:33+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.064600,2024-11-09 01:33:33+00:00,2024-11-09
2024-11-09 07:47:08+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.064500,2024-11-09 07:47:08+00:00,2024-11-09
2024-11-09 15:33:47+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.064000,2024-11-09 15:33:47+00:00,2024-11-09
2024-11-09 20:16:42+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063900,2024-11-09 20:16:42+00:00,2024-11-09
2024-11-10 01:47:36+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063800,2024-11-10 01:47:36+00:00,2024-11-10
2024-11-10 05:48:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063400,2024-11-10 05:48:30+00:00,2024-11-10
2024-11-10 19:48:31+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063000,2024-11-10 19:48:31+00:00,2024-11-10
2024-11-10 23:02:23+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062900,2024-11-10 23:02:23+00:00,2024-11-10
2024-11-11 17:03:25+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.061600,2024-11-11 17:03:25+00:00,2024-11-11
2024-11-11 09:47:27+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062000,2024-11-11 09:47:27+00:00,2024-11-11
2024-11-11 02:47:22+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062300,2024-11-11 02:47:22+00:00,2024-11-11
2024-11-11 06:17:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062500,2024-11-11 06:17:32+00:00,2024-11-11
2024-11-12 01:02:00+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.061500,2024-11-12 01:02:00+00:00,2024-11-12
2024-11-12 06:19:08+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062600,2024-11-12 06:19:08+00:00,2024-11-12
2024-11-12 15:03:23+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062500,2024-11-12 15:03:23+00:00,2024-11-12
2024-11-12 19:32:44+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.064000,2024-11-12 19:32:44+00:00,2024-11-12
2024-11-13 03:02:35+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063600,2024-11-13 03:02:35+00:00,2024-11-13
2024-11-13 09:16:57+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063300,2024-11-13 09:16:57+00:00,2024-11-13
2024-11-13 16:32:31+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063600,2024-11-13 16:32:31+00:00,2024-11-13
2024-11-13 21:47:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063300,2024-11-13 21:47:32+00:00,2024-11-13
2024-11-14 01:32:43+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063000,2024-11-14 01:32:43+00:00,2024-11-14
2024-11-14 09:02:26+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062700,2024-11-14 09:02:26+00:00,2024-11-14
2024-11-14 18:02:27+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062600,2024-11-14 18:02:27+00:00,2024-11-14
2024-11-14 21:47:31+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.063100,2024-11-14 21:47:31+00:00,2024-11-14
2024-11-15 13:48:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062200,2024-11-15 13:48:32+00:00,2024-11-15
2024-11-15 18:03:40+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062100,2024-11-15 18:03:40+00:00,2024-11-15
2024-11-15 01:17:23+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062600,2024-11-15 01:17:23+00:00,2024-11-15
2024-11-15 09:47:41+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.062400,2024-11-15 09:47:41+00:00,2024-11-15
2024-11-16 02:32:39+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.061900,2024-11-16 02:32:39+00:00,2024-11-16
2024-11-16 06:18:00+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.061600,2024-11-16 06:18:00+00:00,2024-11-16
2024-11-16 10:47:07+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.061400,2024-11-16 10:47:07+00:00,2024-11-16
2024-11-16 14:32:37+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.061000,2024-11-16 14:32:37+00:00,2024-11-16
2024-11-17 01:32:31+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.060800,2024-11-17 01:32:31+00:00,2024-11-17
2024-11-17 08:47:38+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.060300,2024-11-17 08:47:38+00:00,2024-11-17
2024-11-17 17:32:23+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.059900,2024-11-17 17:32:23+00:00,2024-11-17
2024-11-18 22:32:31+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.059400,2024-11-18 22:32:31+00:00,2024-11-18
2024-11-18 09:03:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.059600,2024-11-18 09:03:30+00:00,2024-11-18
2024-11-18 17:02:46+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.059300,2024-11-18 17:02:46+00:00,2024-11-18
